Fixture ID,League,League Logo,League Flag,League Country,Date,Match Time,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score,Status,Elapsed,Extra Time
1537435,Capital Territory NPL,https://media.api-sports.io/football/leagues/189.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,O'Connor Knights,https://media.api-sports.io/football/teams/18419.png,Brindabella,https://media.api-sports.io/football/teams/23516.png,,,NS,,
1537436,Capital Territory NPL,https://media.api-sports.io/football/leagues/189.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Queanbeyan City,https://media.api-sports.io/football/teams/23519.png,Belconnen United,https://media.api-sports.io/football/teams/1449.png,,,NS,,
1537437,Capital Territory NPL,https://media.api-sports.io/football/leagues/189.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Canberra White Eagles,https://media.api-sports.io/football/teams/23518.png,Tuggeranong United,https://media.api-sports.io/football/teams/1447.png,,,NS,,
1469706,A-League,https://media.api-sports.io/football/leagues/188.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:35,Macarthur,https://media.api-sports.io/football/teams/15550.png,Wellington Phoenix,https://media.api-sports.io/football/teams/942.png,,,NS,,
1521916,Victoria NPL,https://media.api-sports.io/football/leagues/195.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:45,Dandenong City,https://media.api-sports.io/football/teams/3800.png,Dandenong Thunder,https://media.api-sports.io/football/teams/3801.png,,,NS,,
1541409,Victoria Premier League 2,https://media.api-sports.io/football/leagues/1226.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:45,Eastern Lions,https://media.api-sports.io/football/teams/9977.png,Whittlesea United,https://media.api-sports.io/football/teams/27700.png,,,NS,,
1541410,Victoria Premier League 2,https://media.api-sports.io/football/leagues/1226.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:45,Keilor Park,https://media.api-sports.io/football/teams/27697.png,Box Hill,https://media.api-sports.io/football/teams/27695.png,,,NS,,
1416397,U19 League,https://media.api-sports.io/football/leagues/1065.png,https://media.api-sports.io/flags/ua.svg,Ukraine,2026-04-24,10:00,Kryvbas 2020 U19,https://media.api-sports.io/football/teams/23076.png,Dynamo Kyiv U19,https://media.api-sports.io/football/teams/7898.png,,,NS,,
1490678,1. Liga U19,https://media.api-sports.io/football/leagues/668.png,https://media.api-sports.io/flags/cz.svg,Czech-Republic,2026-04-24,10:00,Zlín U19,https://media.api-sports.io/football/teams/14840.png,Pardubice U19,https://media.api-sports.io/football/teams/14836.png,,,NS,,
1504759,J1 League,https://media.api-sports.io/football/leagues/98.png,https://media.api-sports.io/flags/jp.svg,Japan,2026-04-24,10:00,FC Tokyo,https://media.api-sports.io/football/teams/292.png,Mito Hollyhock,https://media.api-sports.io/football/teams/305.png,,,NS,,
1504760,J1 League,https://media.api-sports.io/football/leagues/98.png,https://media.api-sports.io/flags/jp.svg,Japan,2026-04-24,10:00,Kashiwa Reysol,https://media.api-sports.io/football/teams/281.png,Kashima,https://media.api-sports.io/football/teams/290.png,,,NS,,
1517880,New South Wales NPL 2,https://media.api-sports.io/football/leagues/835.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,10:00,Hurstville FC,https://media.api-sports.io/football/teams/27462.png,Bankstown City Lions,https://media.api-sports.io/football/teams/20790.png,,,NS,,
1518061,V.League 1,https://media.api-sports.io/football/leagues/340.png,https://media.api-sports.io/flags/vn.svg,Vietnam,2026-04-24,10:00,Hoang Anh Gia Lai,https://media.api-sports.io/football/teams/3673.png,Hai Phong,https://media.api-sports.io/football/teams/3671.png,,,NS,,
1519038,Youth Championship,https://media.api-sports.io/football/leagues/238.png,https://media.api-sports.io/flags/ru.svg,Russia,2026-04-24,10:00,Dinamo Moskva U19,https://media.api-sports.io/football/teams/16594.png,Fakel U19,https://media.api-sports.io/football/teams/19295.png,,,NS,,
1519040,Youth Championship,https://media.api-sports.io/football/leagues/238.png,https://media.api-sports.io/flags/ru.svg,Russia,2026-04-24,10:00,Nizhny Novgorod U19,https://media.api-sports.io/football/teams/17151.png,CSKA Moskva U19,https://media.api-sports.io/football/teams/7951.png,,,NS,,
1519211,Youth Championship,https://media.api-sports.io/football/leagues/238.png,https://media.api-sports.io/flags/ru.svg,Russia,2026-04-24,10:00,Almaz Antey U19,https://media.api-sports.io/football/teams/27473.png,Chertanovo U20,https://media.api-sports.io/football/teams/15176.png,,,NS,,
